Model,Property,Epoch,Train_Loss,Test_Loss,Test_AUC,Test_Acc,Grad_Atom,Grad_Bond,Grad_GNN
quantum,gap,1,0.6793630268909038,0.6167324265283531,0.6904055438986945,0.6426666666666667,0.216043218455847,0.12490040120753865,0.35278949137031274
quantum,gap,2,0.5841766621770221,0.5717031251294539,0.7718802157538482,0.682,0.3554479400505391,0.3304584161055873,0.6284992518186648
quantum,gap,3,0.5039759719819558,0.5174839342980024,0.8103329814813509,0.7333333333333334,0.4144671908942639,0.4619788864190338,0.8344247269264911
quantum,gap,4,0.48247814409792894,0.5068432673032706,0.8370738409865046,0.756,0.45790021993161734,0.5059998422445384,0.9482121758066663
quantum,gap,5,0.468808402954809,0.4903981171428847,0.8533646704300049,0.7606666666666666,0.4798121786117184,0.5549076525170896,1.0451914378750733
quantum,gap,6,0.45894289162298013,0.49930744089713935,0.8466652291798576,0.7526666666666666,0.5128874112186576,0.5936280675484815,1.089162397854499
quantum,gap,7,0.45343237474380366,0.4946309129048604,0.8573954344214154,0.7633333333333334,0.5078490588754578,0.6067195298311734,1.099306676191529
quantum,gap,8,0.4479329200214853,0.4831788420163405,0.8590861790797408,0.7606666666666667,0.516338734085142,0.6101628584832934,1.1188079531556117
quantum,gap,9,0.4444963769857515,0.46928698647208505,0.8577577033217271,0.776,0.5434378254428729,0.6496128313282503,1.1550569912038342
quantum,gap,10,0.437156209344795,0.473778724303794,0.8640274233482519,0.7766666666666666,0.5528715249882703,0.6248819228985589,1.1537025923804538
quantum,gap,11,0.4374780380085782,0.477500135347218,0.8596509220613155,0.7673333333333333,0.5660076486905279,0.6263249991589521,1.1822865701967042
quantum,gap,12,0.43647960638314964,0.4741033173753822,0.8616592270858764,0.7806666666666666,0.5651274739985611,0.6216954727031453,1.1431655412981103
quantum,gap,13,0.4341291010972343,0.47321037088476203,0.8630677007313265,0.7706666666666667,0.5521962642224078,0.6511945245245683,1.160899482940037
quantum,gap,14,0.43424751337752365,0.47879313663597245,0.8562762814864101,0.772,0.5394119578079076,0.6396126912597336,1.1315716093766264
quantum,gap,15,0.43138640456730626,0.48000975926825784,0.8710925466859246,0.7606666666666666,0.5433459088165108,0.6421503524245368,1.1352997260159994
quantum,gap,16,0.4235804006523952,0.473114906185263,0.8735833449818887,0.7813333333333332,0.5498693261103549,0.6769861085176114,1.1609815147629805
quantum,gap,17,0.4202345436597696,0.4757476118197809,0.8747990178192392,0.7746666666666667,0.5414921585055471,0.6628884879892636,1.1432273402662272
quantum,gap,18,0.4176286491249951,0.4615873443351253,0.8759323816234243,0.7886666666666667,0.5641964324844669,0.6767381625954456,1.1766517201467348
quantum,gap,19,0.4165299398235608,0.4674590866957103,0.8757101168317492,0.7946666666666667,0.5494029930490922,0.66043234121543,1.1729230017589471
quantum,gap,20,0.41503112824965155,0.445222802152086,0.8851593968879371,0.7953333333333333,0.5636066979859841,0.655730643671728,1.1780363339722364
quantum,gap,21,0.41526242104665834,0.4699449022795064,0.880492871035397,0.7833333333333334,0.5624736940105511,0.6684457515518838,1.1890528068639872
quantum,gap,22,0.41576312678943783,0.4532332854525472,0.8770835568098088,0.7913333333333333,0.5636574167204521,0.6675955966628293,1.2098897306703074
quantum,gap,23,0.4166558871963738,0.4557654746142962,0.8773855456782995,0.7913333333333333,0.5592667804763567,0.6336683322514365,1.1993399088719365
quantum,gap,24,0.411893352513959,0.4698855938545797,0.8759233090457785,0.7766666666666666,0.5572980188850823,0.6713411512504049,1.1994077680459423
quantum,gap,25,0.41349618277104944,0.45815363328422765,0.8818118242881245,0.8,0.5668348238108842,0.6567282912665481,1.1946815916749225
quantum,gap,26,0.41482702907307195,0.44862689920772303,0.879235596702108,0.7853333333333334,0.5642291822975289,0.6645626567904533,1.2108710972486125
quantum,gap,27,0.4106543379381139,0.44712057182731185,0.8805935274619504,0.8099999999999999,0.5595835159187066,0.6475114952980383,1.2086134965270046
quantum,gap,28,0.4147678116531438,0.4681322109744069,0.8798428505068498,0.7846666666666666,0.5583819970185208,0.6593778667747257,1.20912800866243
quantum,gap,29,0.41184439772268017,0.4655362835988301,0.8795797610581249,0.7886666666666665,0.5673341132356676,0.6597814047338046,1.2107654115431137
quantum,gap,30,0.4120893841105625,0.45524294047519165,0.8830942145881291,0.7846666666666666,0.5605536910833755,0.6847178487653769,1.2145379163931103
