Model,Property,Params,Final_AUC_Mean,Final_AUC_Std_AcrossTrials,Final_Acc_Mean,Final_Acc_Std_AcrossTrials,Final_AUC_PerTrial,Final_Acc_PerTrial
logreg_composition,gap,5,0.6594603714817627,0.044682393913781135,0.6266666666666666,0.03988873413773757,0.712851;0.658869;0.599181;0.628112;0.606330;0.614464;0.692356;0.738536;0.670681;0.673225,0.633333;0.613333;0.586667;0.613333;0.566667;0.586667;0.673333;0.700000;0.660000;0.633333
logreg_composition,mu,5,0.6983012137819999,0.03280393074055887,0.6486666666666667,0.024046251729161923,0.711713;0.738643;0.708771;0.672361;0.697674;0.626964;0.708504;0.697143;0.674062;0.747177,0.646667;0.693333;0.640000;0.653333;0.653333;0.600000;0.620000;0.653333;0.660000;0.666667
